Brand;Model;Size
AirBook;Airbook Pro 6;6
AirBook;Airbook Pro 8;7.8
AirBook;Airbook Pro 8S;7.8
AirBook;AirBook City Base;6
AirBook;AirBook City LED;6
AirBook;AirBook City Light HD;6
AirBook;AirBook City Light Touch;6
AirBook;AirBook Wi-Fi City;6
AirBook;AirBook Black Pearl;6
Amazon;Amazon Kindle 2019;None
Amazon;Amazon Kindle Kids Edition;None
Amazon;Amazon Kindle Oasis 2019;None
Amazon;Amazon Kindle Paperwhite 2018;None
Amazon;Amazon Kindle Oasis 2017;None
Amazon;Amazon Kindle 2016;6
Amazon;Amazon Kindle Oasis;None
Amazon;Amazon Kindle Paperwhite 2016;6
Amazon;Amazon Kindle Paperwhite Manga;6
Amazon;Amazon Kindle X MiGu;6
Amazon;Amazon Kindle Paperwhite 2015;None
Amazon;Amazon Kindle 2014;None
Amazon;Amazon Kindle Voyage;None
Amazon;Amazon Kindle Paperwhite 2013;6
Amazon;Amazon Kindle Paperwhite 3G 2013;6
Amazon;Amazon Kindle 2012;None
Amazon;Amazon Kindle Paperwhite;None
Amazon;Amazon Kindle Paperwhite 3G;None
Amazon;Amazon Kindle 4 Wi-Fi;None
Amazon;Amazon Kindle Touch Wi-Fi;None
Amazon;Amazon Kindle Touch Wi-Fi+3G;None
Amazon;Amazon Kindle 3 Keyboard Wi-Fi;None
Amazon;Amazon Kindle 3 Keyboard Wi-Fi+3G;None
Amazon;Amazon Kindle DX International Graphite;9.7
Amazon;Amazon Kindle DX International White;9.7
Amazon;Amazon Kindle 2 CDMA;6
Amazon;Amazon Kindle 2 International;6
Amazon;Amazon Kindle DX CDMA;None
Amazon;Amazon Kindle 1 CDMA;6
Barnes&Noble;Barnes&Noble Nook GlowLight Plus 7.8;"06.06.19 Nook Glowlight Plus Unboxing
 12.06.19 Nook Glowlight Plus 7.8"" vs Kobo Forma Comparison
 17.06.19 Nook Glowlight Plus 2019 Review
 20.06.19 Nook Glowlight Plus 7.8 vs Amazon Kindle Oasis 2"
Barnes&Noble;Barnes&Noble Nook GlowLight 3;6
Barnes&Noble;Barnes&Noble Nook GlowLight Plus;None
Barnes&Noble;Barnes&Noble Nook GlowLight;6
Barnes&Noble;Barnes&Noble Nook Simple Touch with GlowLight;None
Barnes&Noble;Barnes&Noble Nook Simple Touch;6
Barnes&Noble;Barnes&Noble Nook Color;7
Barnes&Noble;Barnes&Noble Nook Wi-Fi;6
Barnes&Noble;Barnes&Noble Nook 3G+Wi-Fi;6
Bookeen;Bookeen Diva;6
Bookeen;Bookeen Diva HD;None
Bookeen;Bookeen Nolim;6
Bookeen;Bookeen Saga;6
Bookeen;Bookeen Cybook Muse;6
Bookeen;Bookeen Cybook Muse HD;6
Bookeen;Bookeen Cybook Muse Light;6
Bookeen;Bookeen Cybook Muse Essential;6
Bookeen;Bookeen Cybook Muse Frontlight;6
Bookeen;Bookeen Cybook Odyssey Essential;6
Bookeen;Bookeen Cybook Odyssey FrontLight2;6
Bookeen;Bookeen Cybook Ocean;None
Bookeen;Bookeen Cybook Odyssey 2013 Edition;6
Bookeen;Bookeen Cybook Odyssey FrontLight;6
Bookeen;Bookeen Cybook Odyssey HD FrontLight;None
Bookeen;Bookeen Cybook Odyssey;6
Bookeen;Bookeen Cybook Orizon;6
Bookeen;Bookeen Cybook Opus;5
Bookeen;Bookeen Cybook Gen3;6
BQ (Европа);BQ Cervantes 4;6
BQ (Европа);BQ Cervantes 3;6
DEXP;DEXP L3 Moon;6
DEXP;DEXP S3 Symbol;6
DEXP;DEXP P2 Mirage;6
DEXP;DEXP FL2 Jupiter;6
DEXP;DEXP L2 Moon;6
DEXP;DEXP P1 Mirage;6
DEXP;DEXP T2 Composition;6
DEXP;DEXP L1 Moon;6
DEXP;DEXP S1 Symbol;6
Digma;Digma e63W;6
Digma;Digma e656;6
Digma;Digma e68B;6
Digma;Digma r63W;6
Digma;Digma r656;6
Digma;Digma r68B;None
Digma;Digma X600;6
Digma;Digma e60C;6
Digma;Digma e635;6
Digma;Digma e654;6
Digma;Digma r634;6
Digma;Digma r654;6
Digma;Digma e61M;6
Digma;Digma e62B;6
Digma;Digma e634;6
Digma;Digma e63S;6
Digma;Digma e652;6
Digma;Digma r61M;6
Digma;Digma r62B;6
Digma;Digma r63S;6
Digma;Digma r652;6
Digma;Digma s677;6
Digma;Digma e630;6
Digma;Digma e631;6
Digma;Digma e632;6
Digma;Digma e633;6
Digma;Digma e64M;6
Digma;Digma e65G;6
Digma;Digma e6DG;6
Digma;Digma r651G;6
Digma;Digma r660;6
Digma;Digma r663;6
Digma;Digma r67M;6
Digma;Digma s683G;6
Digma;Digma E627;6
Digma;Digma E628;6
Digma;Digma E629;6
Digma;Digma R657;6
Digma;Digma R658;6
Digma;Digma R659;6
Digma;Digma S676;6
Digma;Digma T646;6
Digma;Digma E624;6
Digma;Digma E625;6
Digma;Digma E626;None
Digma;Digma R655;6
Digma;Digma R656 2014;6
Digma;Digma S665;6
Digma;Digma S675;6
Digma;Digma T635;6
Digma;Digma T645;6
Digma;Digma R60G;6
Digma;Digma d700;7
Digma;Digma d701;7
Digma;Digma e5;5
Digma;Digma e6;6
Digma;Digma e605;6
Digma;Digma s605;6
Digma;Digma s605f;6
Digma;Digma s605t;6
Digma;Digma a700;7
Digma;Digma c700;7
Digma;Digma c701;7
Digma;Digma cs700;7
Digma;Digma e501;5
Digma;Digma e601;6
Digma;Digma e601hd;6
Digma;Digma q1000;9.7
Digma;Digma s602;None
Digma;Digma s602w;None
Digma;Digma t700;7
Digma;Digma e500;None
Digma;Digma e600;None
Digma;Digma q600;6
Gmini;Gmini MagicBook H6HD;6
Gmini;Gmini MagicBook A62LHD;6
Gmini;Gmini MagicBook A6LHD+;6
Gmini;Gmini MagicBook W6HD;6
Gmini;Gmini MagicBook W6LHD;6
Gmini;Gmini MagicBook S62HD;6
Gmini;Gmini MagicBook S62LHD;6
Gmini;Gmini MagicBook S6HD;6
Gmini;Gmini MagicBook S6LHD;6
Gmini;Gmini MagicBook Q6LHD;6
