Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 2)	Красный;белый;черный	Девушка	Девушка в платье	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 3)	Оранжевы;синий;коричневый	Города	Страны	Персонажи мультфильмов	Новый год; День рождения; 23 февраля	Мужу парню мужчине; брату другу коллеге; Дедушке
(Принт 5)	Зеленый;коричневый;фиолетовый	Авокадо	Avocado	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 6)	Желтый;фиолетовый;голубой	Кот	Кошка	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 7)	Крачный;черный	Кошки	Сердечки 	Персонажи мультфильмов	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой
(Принт 8)	Белый;золотистый;синий 	Герб	Российская Федерация	Другие герои	День России; 9 мая; День родения	Мужу мужчине парню; Сыну коллеге знакомому; Дедушке
(Принт 9)	Зеленый;розово-пурпурный;бежевый	Животные	Лев	Персонажи фильмов	Новый год; День рождения; 23 февраля	Мужу мужчине парню; Сыну коллеге знакомому; Дедушке
(Принт 10)	Черный;красный;голубой	Девушка	В очках	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 11)	Белый;черный;красный	Девушка	С цветами	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 12)	Фиолетовый;серый;белый	Кот	С наушниками	Персонажи мультфильмов	Новый год; 8 марта; День рождения	Парню девушке; Сетре брату; Сыну дочери
(Принт 13)	Белый;черный;ягодный	Кот	С наушниками	Персонажи мультфильмов	23 февраля; 8 марта; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 14)	Белый;черный;ягодный	Собака	С бантом	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 15)	Бежевый;черный;розовый	Фламинго	Розовое	Другие персонажи	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 16)	Желтый;розово-лавандовый;голубой	Еда	Мороженое	Другие персонажи	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 18)	Черный;розовый	Девочка	С медведем	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 19)	Голубой;коричневый;розовый	Девочка	С шарами	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 20)	Черный;кофейный;белый	Напиток	Кофе	Другие персонажи	23 февраля; 8 марта; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 21)	Голубой;желтый;лавандовый	Игрушка	Единорог	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 22)	Зеленый;белый;коричневый	Авокадо	AvoYoga	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 23)	Черный;серый;желтый	Животное	Леопард	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 24)	Голубой;зеленый;желтый	Лама	Lama	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 25)	Черный;оранжевый;белый	Лама	Lama	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 26)	Белый;розовый;красный	Цветы	Flowers	Другие персонажи	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 27)	Ягодный;голубой берилл;розовый 	Девушка	В очках	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 28)	Черный;красный;бордовый	Девушка	С красной сумкой	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 29)	Розовый;леопардовый;бирюзовый	Игрушка	Единорог	Персонажи мультфильмов	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой
(Принт 30)	Черный;розовый;коричневый	Девушка	В маске	Персонажи фильмов	23 февраля; 8 марта; День рождения	Другу подруге; Мужчине; Женщине
(Принт 31)	Голубой;белый;фиолетовый	Девушка	В очках	Персонажи фильмов	23 февраля; Новый год; День рождения	Сестре дочери; Подруге; Знакомой
(Принт 33)	Крачный;белый;черный	Девочка	В красных очках	Персонажи мультфильмов	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой
(Принт 34)	Черный;белый;коричневый	Сова	В очках с бантами	Персонажи мультфильмов	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой
(Принт 35)	Зеленый;белый;розовый	Домашнее животное	Котенок	Другие персонажи	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой
(Принт 36)	Белый;бежевый;светло-песочный	Девушка	В шляпе	Персонажи фильмов	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой коллеге
(Принт 37)	Фиолетовый;лавандовый;синий	Абстракция	Разные цвета	Другие персонажи	23 февраля; 8 марта; День рождения	Парню девушке; Сетре брату; Маме папе
