Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 2)	Черный	Девушка	Девушка в платье	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 3)	Красный	Города	Страны	Персонажи мультфильмов	Новый год; День рождения; 23 февраля	Мужу парню мужчине; брату другу коллеге; Дедушке
(Принт 5)	Зеленый	Авокадо	Avocado	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 6)	Фиолетовый	Кот	Кошка	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 7)	Черный	Кошки	Сердечки 	Персонажи мультфильмов	День рождения; 14 февраля; 8 марта	Сестре дочери; Подруге; Знакомой
(Принт 8)	Золотистый	Герб	Российская Федерация	Другие герои	День России; 9 мая; День родения	Мужу мужчине парню; Сыну коллеге знакомому; Дедушке
(Принт 9)	Сиреневый	Животные	Лев	Персонажи фильмов	Новый год; День рождения; 23 февраля	Мужу мужчине парню; Сыну коллеге знакомому; Дедушке
(Принт 10)	Белый	Девушка	В очках	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 11)	Белый	Девушка	С цветами	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 12)	Фиолетовый	Кот	С наушниками	Персонажи мультфильмов	Новый год; 8 марта; День рождения	Парню девушке; Сетре брату; Сыну дочери
(Принт 13)	Фиолетовый	Кот	С наушниками	Персонажи мультфильмов	23 февраля; 8 марта; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 14)	Белый	Собака	С бантом	Персонажи мультфильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 15)	Розовый	Фламинго	Розовое	Другие персонажи	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 16)	Розовый	Еда	Мороженое	Другие персонажи	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 18)	Розовый	Девочка	С медведем	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 19)	Розовый	Девочка	С шарами	Персонажи фильмов	8 марта; День рождения; 1 сентября	Сестре дочери; Подруге; Знакомой
(Принт 20)	Черный	Напиток	Кофе	Другие персонажи	23 февраля; 8 марта; День рождения	Парню девушке; Сетре брату; Маме папе
