Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 2)	Черный	С рисунком картинкой принтом печатью	Девушка в Париже	Fashion Мода	8 марта; 14 февраля; день рождения	Для девушки; женский; подруге
(Принт 3)	Красный	С рисунком картинкой принтом печатью	Страны	Путешествия 	День рождения; 8 марта; Просто так	Женский; мужской; для парня для девушки
(Принт 5)	Зеленый	С рисунком картинкой принтом печатью	Авокадо	Avocado	8 марта; День рождения; 1 сентября	Для девочки; дочери; детский
(Принт 6)	Фиолетовый	С рисунком картинкой принтом печатью	Кошка в красках 	Cat 	День рождения; 8 марта; Просто так	Для девочки; дочери; детский
(Принт 7)	Черный	С рисунком картинкой принтом печатью	Сиамские коты	Сердечки	День рождения; 14 февраля; 8 марта	Для девушки; девочке; подруге
(Принт 8)	Золотистый	С рисунком картинкой принтом печатью	Российская Федерация	Флаг Герб	День России; 9 мая; День родения	Для мужчины; мужской; сыну
(Принт 9)	Сиреневый	С рисунком картинкой принтом печатью	Лев	Животные	День России; День рождения; 23 февраля	Для мужчины; мужской; сыну
(Принт 10)	Белый	С рисунком картинкой принтом печатью	Девушка в очках	Девушка с коктейлем	8 марта; День рождения; 1 сентября	Для девочки; дочери; детский
(Принт 11)	Белый	С рисунком картинкой принтом печатью	Девушка с цветами	Букет	8 марта; День рождения; 14 февраля	Для девочки; дочери; детский
(Принт 12)	Фиолетовый	С рисунком картинкой принтом печатью	Кот с наушниками	Кот в кепке	8 марта; день рождения; просто так	Для девочки; дочери; детский
(Принт 13)	Фиолетовый	С рисунком картинкой принтом печатью	Собака с наушниками	Собака в кепке	8 марта; день рождения; просто так	Для девочки; дочери; детский
(Принт 14)	Белый	С рисунком картинкой принтом печатью	Мопс с бантом	Мопс в очках 	8 марта; день рождения; просто так	Для девочки; дочери; детский
(Принт 15)	Розовый	С рисунком картинкой принтом печатью	Фламинго	Flamingo	8 марта; день рождения; просто так	Женский; для девушки; сестре
(Принт 16)	Розовый	С рисунком картинкой принтом печатью	Мороженое	Десерты	День рождения; 8 марта; Просто так	Для девочки; дочери; детский
