Brand;Model;Size;Size_mm
4Good;4Good People GT300 3G;10.1;241 x 170 x 10 мм
4Good;4Good Light AT200;7;189 x 114 x 9.5 мм
4Good;4Good Light AT300;10.1;242 x 172 x 9.9 мм
4Good;4Good People AT100;7;?
4Good;4Good People Gm500 3G;10.1;258 x 171 x 9.6 мм
4Good;4Good T100m;10.1;259 x 150 x 11 мм
4Good;4Good T103i 3G;10.1;?
4Good;4Good T703m 3G;7;?
4Good;4Good T704m 3G;7;?
4Good;4Good T800m;8;207 x 124 x 10 мм
4Good;4Good T803i 3G;8;208 x 121 x 9 мм
4Good;4Good T890i 3G;8.9;?
4Good;4Good T100i;10.1;253 x 154 x 10 мм
4Good;4Good T101i;10.1;254 x 154 x 9 мм
4Good;4Good T700i 3G;7;188 x 107.8 x 9.9 мм
4Good;4Good T700m 3G;7;?
4Good;4Good T701m 3G;7;?
4Good;4Good T800i;8;205 x 120 x 10 мм
4Good;4Good T801i 3G;8;?
Acer;Acer Enduro T1 10;10.1;290 x 178 x 11.7 мм
Acer;Acer Enduro T1 8;8;227.1 x 146.8 x 10.92 мм
Acer;Acer Enduro T5;10.1;280.36 x 180 x 26.6 мм
Acer;Acer Chromebook Tab 10;9.7;238.2 x 1772.2 x 9.98 мм
Acer;Acer Iconia One 10 (B3-A42);10.1;259 x 167.5 x 9.15 мм
Acer;Acer Iconia One 10 (B3-A50);10.1;254 x 169.9 x 8.4 мм
Acer;Acer Iconia One 10 (B3-A50FHD);10.1;253.9 x 170 x 8.3 мм
Acer;Acer Iconia One 8 (B1-870);8;212.3 x 127.9 x 9.05 мм
Acer;Acer Iconia One 10 (B3-A32);10.1;259 x 167.5 x 9.2 мм
Acer;Acer Iconia One 10 (B3-A40);10.1;258.4 x 167.15 x 9.15 мм
Acer;Acer Iconia One 10 (B3-A40FHD);"июнь
Экран:10.1";258.4 x 167.15 x 9.15 мм
Acer;Acer Iconia One 7 (B1-790);7;193.1 x 102.4 x 9.35 мм
Acer;Acer Iconia One 8 (B1-860);8;211.9 x 127.5 x 9.05 мм
Acer;Acer Iconia Tab 10 (A3-A50);10.1;267.4 x 169.2 x 8.95 мм
Acer;Acer Iconia Talk 7 (B1-733);7;191.7 x 102 x 9.3 мм
Acer;Acer Aspire Switch 10 V (SW5-014);10.1;262 x 180 x 9 мм
Acer;Acer Aspire Switch 12 S (SW7-272);12.5;313.4 x 203.5 x 7.9 мм
Acer;Acer Aspire Switch One 10 (SW1-011);10.1;259 x 192.6 x 20.7 мм
Acer;Acer Aspire Switch V 10 (SW5-017);10.1;262 x 188 x 19.2 мм
Acer;Acer Iconia One 10 (B3-A30);10.1;259 x 167.5 x 9.2 мм
Acer;Acer Iconia One 7 (B1-780);7;191.7 x 101 x 9.4 мм
Acer;Acer Iconia One 8 (B1-850);8;214 x 127 x 10 мм
Acer;Acer Iconia Tab 10 (A3-A40);10;259 x 167.5 x 8.99 мм
Acer;Acer Iconia Talk S (A1-734);7;191.7 x 101 x 9.35 мм
Acer;Acer One 10 (S1003);10.1;262 x 173.5 x 20.7 мм
Acer;Acer Aspire Switch 10 (SW5-015);10.1;261.6 x 177.1 x 8.9 мм
Acer;Acer Aspire Switch 10 E (SW3-013);10.1;262 x 180 x 10.95 мм
Acer;Acer Aspire Switch 10 E (SW3-016);10.1;262 x 180 x 10.95 мм
Acer;Acer Aspire Switch 11 V (SW5-173);11.6;299.5 x 195 x 9 мм
Acer;Acer Iconia A1-840 Tab 8;8;215 x 130 x 8.5 мм
Acer;Acer Iconia One 10 (B3-A10);10.1;245 x 172 x 9.2 мм
Acer;Acer Iconia One 10 (B3-A20);10.1;259 x 168 x 9.5 мм
Acer;Acer Iconia One 7 (B1-760HD);7;193 x 107 x 9.9 мм
Acer;Acer Iconia One 7 (B1-770);7;189 x 108.8 x 9.5 мм
Acer;Acer Iconia One 8 (B1-820);8;213.9 x 127.7 x 9.5 мм
Acer;Acer Iconia One 8 (B1-830);8;214 x 128 x 9.5 мм
Acer;Acer Iconia Tab 10 (A3-A30);10.1;260 x 176 x 9.7 мм
Acer;Acer Iconia Tab 8 (A1-850);8;215.4 x 130 x 0.8 мм
Acer;Acer Iconia Talk 7 (B1-723);7;190 x 108 x 9.7 мм
Acer;Acer One 10 (S1002);10.1;258 x 178.5 x 10.9 мм
Acer;Acer Predator 8;None;None
Acer;Acer Aspire Switch 10;None;None
Acer;Acer Aspire Switch 11;None;None
Acer;Acer Aspire Switch 12;None;None
Acer;Acer Iconia A1-713 Tab 7;None;None
Acer;Acer Iconia A1-713HD Tab 7;None;None
Acer;Acer Iconia A1-724 Talk S;None;None
Acer;Acer Iconia A1-830;7.9;? x ? x 8.15 мм
Acer;Acer Iconia A1-840FHD Tab 8;None;None
Acer;Acer Iconia A1-841;8;215 x 130 x 8.5 мм
Acer;Acer Iconia A3-A20 Tab 10;None;None
Acer;Acer Iconia A3-A20FHD Tab 10;None;None
Acer;Acer Iconia B1-720721;None;None
Acer;Acer Iconia One 7 (B1-730HD);7;197.5 x 120 x 9 мм
Acer;Acer Iconia One 7 (B1-750);7;193 x 114 x 8.6 мм
Acer;Acer Iconia One 8 (B1-810);8;215.3 x 130.3 x 8.5 мм
Acer;Acer Iconia W1-810 Tab 8W;8;215 x 130 x 10 мм
Acer;Acer Iconia A1-810;7.9;208.7 x 145.7 x 10.5 мм
Acer;Acer Iconia A1-811;7.9;208.7 x 145.7 x 11.1 мм
Acer;Acer Iconia A3-A10;10.1;260 x 175 x 10.15 мм
Acer;Acer Iconia A3-A11;10.1;260 x 175 x 10.15 мм
Acer;Acer Iconia B1-710 (A71);None;None
Acer;Acer Iconia B1-711;None;None
Acer;Acer Iconia W3-810;8.1;? x ? x 11.35 мм
Acer;Acer Iconia W4;8;218 x 135 x 10 мм
Acer;Acer Iconia W511;10.1;258.5 x 167.5 x 18.7 мм
Acer;Acer Iconia W701;11.6;295 x 191 x 12 мм
Acer;Acer Iconia Tab A110;"июнь
Экран:7";193 x 126.5 x 11.4 мм
