catalog_name;stuff_name;stuff_url;descr;size;atr
Маски защитные;Маска защитная двухслойная из спанбонда;https://ck-textil.ru/maski-zashitnye/maska-zashitnaya-dvuhslojnaya-iz-spanbonda.html;Используется в быту для защиты от инфекций,передающихся воздушно-капельным путем. Характеристики: Состав: Спанбонд 50 г/м², Спанбонд 50 г/м².  Размер: 18 см х 9 см.  Двухслойная (100 г).  Вид крепления: резинка круглая.  Тип: нестерильный, для однократного применения.  Противопоказания: индивидуальная непереносимость материалов изделия, механические повреждения.  Особенности продажи: без лицензии. ;['9х18'];  Материал спанбонд  
Летняя одежда для охоты, рыбалки и туризма;ЖИЛЕТ «СВЕТООТРАЖАЮЩИЙ» ОРАНЖЕВЫЙ;https://ck-textil.ru/letnyaya-odezhda/zhilety-1/zhilet-svetootrazhayushij-oranzhevyj.html;Ткань: (100% полиэстер) Средство индивидуальной защиты,предназначенное для обеспечения безопасности человека. ;['универсальный'];  Ткань (100% полиэстер)   Цвет оранжевый  
Летняя одежда для охоты, рыбалки и туризма;ЖИЛЕТ «СВЕТООТРАЖАЮЩИЙ» САЛАТОВЫЙ;https://ck-textil.ru/letnyaya-odezhda/zhilety-1/zhilet-svetootrazhayushij-salatovyj.html;Ткань: (100% полиэстер) Средство индивидуальной защиты,предназначенное для обеспечения безопасности человека. ;['универсальный'];  Ткань (100% полиэстер)   Цвет салатовый  
Летняя одежда для охоты, рыбалки и туризма;ФУТБОЛКА КМФ БЕРЕЗКА;https://ck-textil.ru/letnyaya-odezhda/futbolki/futbolka-kmf-berezka.html;состав: 100% хлопок ;['44', '46', '48', '50', '52', '54', '56', '58'];  Цвет кмф березка   Материал 100% хлопок  
Летняя одежда для охоты, рыбалки и туризма;ФУТБОЛКА КМФ ЗЕЛЕНЫЙ;https://ck-textil.ru/letnyaya-odezhda/futbolki/futbolka-kmf-zelenyj.html;состав: 100% хлопок ;['44', '46', '48', '50', '52', '54', '56', '58'];  Цвет кмф зеленый   Материал 100% хлопок  
Летняя одежда для охоты, рыбалки и туризма;ФУТБОЛКА КМФ ЦИФРА;https://ck-textil.ru/letnyaya-odezhda/futbolki/futbolka-kmf-cifra.html;состав: 100% хлопок ;['44', '46', '48', '50', '52', '54', '56', '58'];  Цвет кмф цифра   Материал 100% хлопок  
Летняя одежда для охоты, рыбалки и туризма;БРЮКИ «РАБОЧИЕ»;https://ck-textil.ru/letnyaya-odezhda/bryuki/bryuki-rabochie.html;"Материалы:  Ткань: грета (50% хлопок, 50% вискоза) -два прорезных кармана;  - усиление в области колена;  - пояс на резинке;  - застёжка на пуговицах. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань грета (50%хлопок, 50%вискоза)   Цвет кмф  
Летняя одежда для охоты, рыбалки и туризма;БРЮКИ «ЛЕТО» КМФ 1;https://ck-textil.ru/letnyaya-odezhda/bryuki/bryuki-leto-kmf-1.html;"Ткань: смесовая (65% хлопок; 35% полиэстер) - брюки на резинке по талии;  - 2 прорезных кармана;  - низ брюк на резинке. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)', '64-66 (5-6 рост)', '68-70 (5-6 рост)'];"  Ткань смесовая (65% хлопок; 35% полиэстер)   Цвет кмф  "
Летняя одежда для охоты, рыбалки и туризма;БРЮКИ «ЛЕТО» КМФ 2;https://ck-textil.ru/letnyaya-odezhda/bryuki/bryuki-leto-kmf-2.html;"Ткань: смесовая (65% хлопок; 35% полиэстер) - брюки на резинке по талии;  - 2 прорезных кармана;  - низ брюк на резинке. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)', '64-66 (5-6 рост)', '68-70 (5-6 рост)'];"  Ткань смесовая (65% хлопок; 35% полиэстер)   Цвет кмф  "
Летняя одежда для охоты, рыбалки и туризма;БРЮКИ «ЛЕТО» КМФ 3;https://ck-textil.ru/letnyaya-odezhda/bryuki/bryuki-leto-kmf-3.html;"Ткань: смесовая (65% хлопок; 35% полиэстер) - брюки на резинке по талии;  - 2 прорезных кармана;  - низ брюк на резинке. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)', '64-66 (5-6 рост)', '68-70 (5-6 рост)'];"  Ткань смесовая (65% хлопок; 35% полиэстер)   Цвет кмф  "
Летняя одежда для охоты, рыбалки и туризма;БРЮКИ «ОМОН» КМФ ЗЕЛЁНЫЙ;https://ck-textil.ru/letnyaya-odezhda/bryuki/bryuki-omon-kmf-zelyonyj.html;"Материалы:  Ткань: грета (50% хлопок, 50% вискоза)   - 2 прорезных кармана;  - 2 объёмных накладных кармана с клапаном на пуговицах с боку;  - 2 объёмных накладных кармана с клапаном сзади;  - пояс брюк на резинке;  - застёжка на пуговицах. ";['44-46 (3-4 рост)', '48-50 (3-4 рост)', '48-50 (5-6 рост)', '52-54 (3-4 рост)', '52-54 (5-6 рост)', '56-58 (3-4 рост)', '56-58 (5-6 рост)', '60-62 (5-6 рост)'];  Ткань грета (50%хлопок, 50%вискоза)   Цвет кмф  
