PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
507;Чехол для OPPO A71 силикон прозрачный Принт 507 (ХК ЦСКА логотип);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 507 (ХК ЦСКА логотип).jpg;Спорт;00-00022978;00-00038357
110;Чехол для OPPO A71 силикон прозрачный Принт 110 (ХК Чикаго Блэкхокс логотип);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 110 (ХК Чикаго Блэкхокс логотип).jpg;Спорт;00-00022978;00-00038357
175;Чехол для OPPO A71 силикон прозрачный Принт 175 (Цвет морской волны);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 175 (Цвет морской волны).jpg;Природа;00-00022978;00-00038357
179;Чехол для OPPO A71 силикон прозрачный Принт 179 (Цветная воронка);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 179 (Цветная воронка).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
776;Чехол для OPPO A71 силикон прозрачный Принт 776 (Цветные сердечки);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 776 (Цветные сердечки).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
818;Чехол для OPPO A71 силикон прозрачный Принт 818 (Цветы в темных тонах);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 818 (Цветы в темных тонах).jpg;Природа;00-00022978;00-00038357
890;Чехол для OPPO A71 силикон прозрачный Принт 890 (Цветы из красок);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 890 (Цветы из красок).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
797;Чехол для OPPO A71 силикон прозрачный Принт 797 (Цветы на розовом фоне);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 797 (Цветы на розовом фоне).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
387;Чехол для OPPO A71 силикон прозрачный Принт 387 (Цветы орнамент);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 387 (Цветы орнамент).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
701;Чехол для OPPO A71 силикон прозрачный Принт 701 (Цитрусы);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 701 (Цитрусы).jpg;Еда;00-00022978;00-00038357
322;Чехол для OPPO A71 силикон прозрачный Принт 322 (Цой);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 322 (Цой).jpg;Арты;00-00022978;00-00038357
646;Чехол для OPPO A71 силикон прозрачный Принт 646 (Человек Паук арт);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 646 (Человек Паук арт).jpg;Фильмы, сериалы, комиксы;00-00022978;00-00038357
611;Чехол для OPPO A71 силикон прозрачный Принт 611 (Человек Паук против Венома);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 611 (Человек Паук против Венома).jpg;Фильмы, сериалы, комиксы;00-00022978;00-00038357
970;Чехол для OPPO A71 силикон прозрачный Принт 970 (Человек Паук через вселенные);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 970 (Человек Паук через вселенные).jpg;Фильмы, сериалы, комиксы;00-00022978;00-00038357
321;Чехол для OPPO A71 силикон прозрачный Принт 321 (Человек Паук);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 321 (Человек Паук).jpg;Фильмы, сериалы, комиксы;00-00022978;00-00038357
636;Чехол для OPPO A71 силикон прозрачный Принт 636 (Череп в цветах);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 636 (Череп в цветах).jpg;Арты;00-00022978;00-00038357
188;Чехол для OPPO A71 силикон прозрачный Принт 188 (Черепахи в волне);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 188 (Черепахи в волне).jpg;Природа;00-00022978;00-00038357
289;Чехол для OPPO A71 силикон прозрачный Принт 289 (Черника);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 289 (Черника).jpg;Еда;00-00022978;00-00038357
309;Чехол для OPPO A71 силикон прозрачный Принт 309 (Черно белые бабочки и цветы);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 309 (Черно белые бабочки и цветы).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
923;Чехол для OPPO A71 силикон прозрачный Принт 923 (Черно белые узоры);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 923 (Черно белые узоры).jpg;Текстуры, узоры, графика;00-00022978;00-00038357
753;Чехол для OPPO A71 силикон прозрачный Принт 753 (Черно белый лев);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 753 (Черно белый лев).jpg;Животные;00-00022978;00-00038357
265;Чехол для OPPO A71 силикон прозрачный Принт 265 (Черно белый тигр арт);/upload/products_pictures/silicone/OPPO A71/pr/white/Принт 265 (Черно белый тигр арт).jpg;Животные;00-00022978;00-00038357
